"Datum und Vorlage";"Ergebnisse";"Schweiz";"Zürich";"Bern / Berne";"Luzern";"Uri";"Schwyz";"Obwalden";"Nidwalden";"Glarus";"Zug";"Fribourg / Freiburg";"Solothurn";"Basel-Stadt";"Basel-Landschaft";"Schaffhausen";"Appenzell Ausserrhoden";"Appenzell Innerrhoden";"St. Gallen";"Graubünden / Grigioni / Grischun";"Aargau";"Thurgau";"Ticino";"Vaud";"Valais / Wallis";"Neuchâtel";"Genève";"Jura"
"05.10.1952 Luftschutzräume";"Nein";603917;129658;82567;27576;4286;7479;1705;2643;5490;5054;12006;24445;26619;16899;10486;7945;1288;47485;14409;58631;24336;11299;37345;9736;16055;18475;...
"05.10.1952 Tabaksteuer und AHV";"Nein";232007;70288;27260;9708;1354;2616;734;993;1507;1890;3891;8018;12207;5988;4521;4593;599;18662;4820;15715;10233;3068;9912;2997;4259;6174;...
"06.07.1952 Deckung der Rüstungsausgaben";"Nein";353522;67000;38835;15157;1842;5009;1378;1604;3321;2506;10700;9800;10340;8237;7192;6162;993;27043;8849;35313;16451;6603;31438;12058;11067;14624;...
"18.05.1952 Rüstungsfinanzierung und Schutz sozialer Errungenschaften";"Nein";422255;78363;57037;23377;3670;7332;2658;2394;4459;3636;13043;16666;13742;8460;6367;6091;1420;33744;15029;38090;19405;7273;25427;10668;11635;12269;...
"20.04.1952 Warenumsatzsteuer-Initiative";"Nein";552122;112928;72822;26673;4478;7909;2549;2936;5877;4089;13949;21286;16527;11239;11045;7595;1623;47502;19089;59282;26820;9504;29769;11872;12191;12568;...
"30.03.1952 Landwirtschaftsgesetz";"Nein";411178;99877;58670;23660;2467;6869;2087;2057;4609;4737;6370;14783;18476;9655;7390;7406;1088;36539;6641;36012;15058;4089;19918;4293;9086;9341;...
"02.03.1952 Bewilligungspflicht für Gasthöfe";"Nein";290520;85949;22413;7989;1673;2621;809;1255;3018;1617;6955;6852;11174;7268;7423;5764;680;28387;5277;43380;13231;6744;10158;4035;2581;3267;...
"08.07.1951 Öffentliche Unternehmungen und Kosten der Armee";"Nein";341869;79702;35067;12502;1953;3810;1428;2146;3332;1618;8611;10462;12626;6712;6315;4834;862;35802;9139;44186;16006;6243;18689;5017;7011;7796;...
"15.04.1951 Gegenentwurf zur Freigeldinitiative";"Nein";209663;57155;32858;8398;1282;2607;1085;696;1782;1617;2966;7080;6411;5132;4096;3258;477;14993;6717;23767;9338;863;7156;3655;4926;1348;...
"15.04.1951 Freigeldinitiative";"Nein";622284;129343;82139;29974;4796;9369;3039;3268;5883;4574;18971;24981;17796;11180;10083;7551;1614;48897;17633;59970;25924;11530;43087;14160;17859;18663;...
"25.02.1951 Autotransportordnung";"Nein";399814;94948;47567;20529;2696;8066;2553;2203;3777;3566;9083;13319;9912;8148;8117;6200;1180;34055;9866;40416;15577;5365;28788;12887;6473;4523;...
"03.12.1950 Finanzordnung 1951 bis 1954";"Nein";227131;43819;24557;6836;1017;4647;910;848;1718;1701;7002;6868;8692;5321;3027;4582;847;17414;3390;16855;6951;3973;30454;5824;6644;13234;...
"03.12.1950 Wahl des Nationalrates";"Nein";218541;58134;20852;5370;1128;5046;745;854;5485;1223;4256;6449;6260;6072;3469;3558;780;17119;9021;19356;7873;5951;16418;4155;3875;5092;...
"01.10.1950 Verhinderung der Spekulation";"Nein";429091;77949;52120;21056;3580;6873;2526;2423;4598;3904;16184;15369;9912;8376;7631;7736;1567;42412;15041;46313;21577;6817;27404;10259;8616;8848;...
"04.06.1950 Neuordnung Finanzhaushalt";"Nein";486381;110432;77929;17283;2638;4510;970;1693;6243;3261;7989;22980;19389;13127;9395;6548;890;34264;11746;47579;19798;8823;25205;9553;13309;10827;...
"29.01.1950 Förderung Wohnbautätigkeit";"Nein";387456;68853;44220;16180;2579;5790;2038;2028;3711;3266;15528;13886;9970;9525;8209;7441;1551;43778;11708;40418;22361;7122;21076;12474;7705;6039;...
"11.12.1949 Dienstverhältnis Bundesbeamte";"Nein";441785;75464;73071;24802;2014;7790;2846;2331;4065;3885;17112;15794;9541;8093;6223;7596;1849;35679;12243;36353;21523;7504;29759;14994;9527;11727;...
"11.09.1949 Rückkehr zur direkten Demokratie";"Nein";272599;75158;25453;8041;1525;3608;933;1199;1755;1638;5293;9763;12251;4567;5841;2464;985;23925;8595;35861;15782;3786;11560;3856;3894;4866;...
"22.05.1949 Bekämpfung der Tuberkulose";"Nein";613552;102210;89409;33234;5153;11218;3439;3211;6133;5615;20979;19739;17207;11673;8769;9065;2123;51274;17475;51624;24184;10993;54624;22018;17039;15144;...
"22.05.1949 Nationalbankartikel";"Nein";468823;86384;69736;24210;3702;9362;2101;2144;4965;4287;14446;17818;11282;9965;7930;6776;1600;35703;15011;43703;19532;8185;35156;19549;12740;2536;...
"14.03.1948 Ordnung der Zuckerwirtschaft";"Nein";481352;102064;62649;23560;3553;6413;1952;1964;4667;3948;11070;17811;19686;10292;7267;8428;1482;40729;12076;47643;18284;8577;31559;9717;17116;8845;...
"06.07.1947 Gesetz über die AHV";"Nein";215496;22841;31409;18059;2002;5213;2992;1748;1231;2372;14750;5534;4471;2542;2043;2147;882;13957;5891;15978;9087;2925;31377;7774;3531;4740;...
"06.07.1947 Revision Wirtschaftsartikel";"Nein";494414;108654;69988;24494;2939;8153;2960;2339;4414;4127;14052;18649;17506;10759;7019;7316;1275;36850;10005;37897;15340;8279;47367;12995;12582;8455;...
"18.05.1947 Wirtschaftsreform und Rechte der Arbeit";"Nein";539244;87611;72458;33131;3851;8478;2997;2616;5040;5286;17431;17561;14188;11907;8386;7915;1955;43590;16399;44559;23751;10701;52529;18628;13754;14522;...
"08.12.1946 Recht auf Arbeit";"Nein";525366;79587;70528;24133;3547;7219;2768;2404;4849;3723;19954;20239;16771;9308;9243;7196;1986;43100;15073;52682;23205;10812;62086;15081;8107;11765;...
"10.02.1946 Gütertransportordnung";"Nein";571566;94962;79719;27718;3530;9111;3522;2830;4467;4843;24838;20161;19108;11485;8108;7303;1631;40148;9870;45382;22225;11278;66376;17703;15488;19760;...
"25.11.1945 Für die Familie";"Nein";170278;31394;13535;10849;995;2797;819;472;2899;1512;5117;5923;3964;4466;3711;7396;1038;16093;4738;17199;10938;1756;18337;1997;1330;1003;...
"21.01.1945 Gesetz über die Bundesbahnen";"Nein";296809;46844;34566;12405;1803;4887;1831;1551;2952;2397;9217;9534;5863;5129;4253;5920;970;27379;6724;34233;13805;5483;30649;10910;6585;10919;...
