"Datum und Vorlage";"Ergebnisse";"Schweiz";"Zürich";"Bern / Berne";"Luzern";"Uri";"Schwyz";"Obwalden";"Nidwalden";"Glarus";"Zug";"Fribourg / Freiburg";"Solothurn";"Basel-Stadt";"Basel-Landschaft";"Schaffhausen";"Appenzell Ausserrhoden";"Appenzell Innerrhoden";"St. Gallen";"Graubünden / Grigioni / Grischun";"Aargau";"Thurgau";"Ticino";"Vaud";"Valais / Wallis";"Neuchâtel";"Genève";"Jura"
"07.12.1986 Besteuerung Schwerverkehr";"Gültige Stimmzettel";1434542;275015;211194;72941;10025;27839;5566;7683;7822;21318;55907;58458;51309;49607;29429;12636;3000;82783;32065;90150;44421;45706;97069;39064;32557;60010;10968
"07.12.1986 Mieterschutz";"Gültige Stimmzettel";1432711;273053;210984;72667;9730;27693;5519;7675;7732;21334;55740;58391;51586;49653;28933;12613;2985;82884;31570;89359;44070;46141;98174;38796;32857;61657;10915
"28.09.1986 Zuckerbeschluss";"Gültige Stimmzettel";1435505;283231;222415;80171;8218;21676;5864;7591;7593;22169;43584;66652;43103;59101;30105;13993;3503;90528;31932;104221;52198;38295;80016;41303;24603;35985;17455
"28.09.1986 Berufsbildung und Umschulung";"Gültige Stimmzettel";1423997;280779;221515;79518;8055;21560;5826;7579;7533;22095;43001;66294;42925;58503;29401;13969;3476;90196;30782;103164;51597;37901;79374;41299;24579;36156;16920
"28.09.1986 Gegenentwurf zur Kulturinitiative";"Gültige Stimmzettel";1394571;274575;219107;77331;7766;21048;5690;7373;7503;21928;41886;65732;42374;57636;27631;13678;3389;88284;29930;100741;50697;37291;77201;39603;23893;35717;16567
"28.09.1986 Kulturinitiative";"Gültige Stimmzettel";1394571;274575;219107;77331;7766;21048;5690;7373;7503;21928;41886;65732;42374;57636;27631;13678;3389;88284;29930;100741;50697;37291;77201;39603;23893;35717;16567
"16.03.1986 UNO-Beitritt";"Gültige Stimmzettel";2102863;396654;326370;114543;11892;33272;11266;12521;14835;31108;62833;85692;64278;77053;33381;17488;5040;128444;47347;146602;67942;69510;133318;64912;43854;87130;15578
"01.12.1985 Abschaffung der Vivisektion";"Gültige Stimmzettel";1558480;333336;227361;70601;10460;23140;5156;7478;7554;24868;45247;73639;60633;65628;29183;13159;3330;82867;34365;87312;47155;44539;113929;49036;31896;54096;12512
"22.09.1985 Neues Eherecht";"Gültige Stimmzettel";1684362;348683;255714;91424;9148;26788;6699;9249;9639;25990;39235;75787;52230;69230;31641;14572;3374;103821;41547;133796;55038;50187;92880;45303;29745;50798;11844
"22.09.1985 Innovationsrisikogarantie";"Gültige Stimmzettel";1612795;330729;245976;87446;8729;26144;6391;8849;9396;24839;37594;74238;49864;65837;29329;13993;3321;100135;38879;127999;52920;48340;89079;43922;28958;48436;11452
"22.09.1985 Koordination Schuljahresbeginn";"Gültige Stimmzettel";1672922;343758;255688;91500;9174;26711;6739;9345;9650;26098;39332;75597;51673;66974;31156;14461;3381;103374;41525;132903;54905;50007;92228;45167;29725;50105;11746
"09.06.1985 Selbstversorgung mit Brotgetreide";"Gültige Stimmzettel";1379907;308362;192376;72586;7853;21932;6612;7340;7822;19989;34452;92104;45932;48513;25922;11697;2748;82695;30215;82576;41122;43855;75069;40457;24710;42339;10629
"09.06.1985 Neuverteilung Alkoholabgabe";"Gültige Stimmzettel";1358453;300333;190058;70837;7717;21769;6563;7284;7716;19730;34077;91569;45880;48651;25287;11609;2737;82188;29747;81107;40351;43544;73127;40079;24219;41788;10486
"09.06.1985 Kantonsanteil Stempelabgaben";"Gültige Stimmzettel";1357905;300896;189217;72044;7688;21770;6528;7301;7730;19782;33929;91627;45636;48275;25193;11579;2727;81638;29596;80916;40357;43610;73305;39989;24258;41828;10486
"09.06.1985 Recht auf Leben";"Gültige Stimmzettel";1447093;329379;197382;76766;8505;22621;6953;7719;7997;20621;35445;93595;48258;50745;27931;12041;2861;86587;32771;85910;42554;45866;79269;43173;25709;45286;11149
"10.03.1985 Verlängerung bezahlte Ferien";"Gültige Stimmzettel";1408680;295413;184821;66130;7868;19893;5823;6796;7349;20248;35220;54462;47726;47044;28065;12560;2975;73737;31588;113734;42119;51706;74276;67509;30020;67827;13771
"10.03.1985 Ausbildungsbeiträge";"Gültige Stimmzettel";1368571;281482;181360;64855;7723;19633;5703;6702;7248;19738;34787;53970;46769;46326;26351;12251;2935;72225;30728;109651;40801;50560;72135;66308;29444;65311;13575
"10.03.1985 Beiträge Gesundheitswesen";"Gültige Stimmzettel";1371430;282821;181435;64854;7688;19630;5707;6696;7265;19741;34683;54004;46756;46343;26303;12270;2931;72521;30698;110037;40884;50380;72403;66266;29465;66154;13495
"10.03.1985 Beiträge Primarschulunterricht";"Gültige Stimmzettel";1373103;281829;181988;64999;7730;19646;5721;6716;7263;19871;34802;54048;46737;46388;26278;12230;2937;72475;30689;109842;40873;50510;72937;66604;29662;66769;13559
"02.12.1984 Hilfe für Opfer von Gewaltverbrechen";"Gültige Stimmzettel";1512255;289206;229186;70880;8224;23043;6698;7696;7680;23721;35606;54399;48042;52461;29963;13213;3092;85257;40154;96407;41536;45136;97601;107322;30873;53386;11473
"02.12.1984 Radio- und Fernsehartikel";"Gültige Stimmzettel";1457424;273230;223216;69155;7948;22641;6448;7478;7515;23229;34533;53628;45677;50791;27107;12745;3056;83068;38485;92136;39888;44252;92390;106323;29987;51356;11142
"02.12.1984 Mutterschutz-Initiative";"Gültige Stimmzettel";1530416;292385;231458;71447;8280;23243;6770;7767;7715;24194;35982;54447;48328;52693;30532;13316;3154;85866;40444;97413;41805;45430;100681;109666;31251;54413;11736
"23.09.1984 Umweltgerechte Energieversorgung";"Gültige Stimmzettel";1690683;333515;250510;86641;9730;24453;7125;9269;10100;24661;37524;70701;69294;76989;31321;14565;3562;110282;40776;120816;47691;55462;106930;42538;32780;60358;13090
"23.09.1984 Zukunft ohne neue Atomkraftwerke";"Gültige Stimmzettel";1694037;334881;250671;86785;9704;24478;7136;9253;10087;24685;37534;70741;69405;77131;31493;14642;3568;110617;40910;120853;47776;55448;107146;42692;32770;60543;13088
