"Datum und Vorlage";"Ergebnisse";"Schweiz";"Zürich";"Bern / Berne";"Luzern";"Uri";"Schwyz";"Obwalden";"Nidwalden";"Glarus";"Zug";"Fribourg / Freiburg";"Solothurn";"Basel-Stadt";"Basel-Landschaft";"Schaffhausen";"Appenzell Ausserrhoden";"Appenzell Innerrhoden";"St. Gallen";"Graubünden / Grigioni / Grischun";"Aargau";"Thurgau";"Ticino";"Vaud";"Valais / Wallis";"Neuchâtel";"Genève";"Jura"
"18.05.2003 Gesundheitsinitiative";"Abgegebene Stimmen";2367157;420978;332398;127211;12276;49559;12083;15572;12036;38241;78877;91791;62391;90021;33346;19130;4414;140061;54764;169487;69673;74855;191346;75639;58406;110987;21615
"18.05.2003 Sonntagsinitiative";"Abgegebene Stimmen";2373187;422719;332478;127887;12370;49634;12143;15608;12044;38303;78977;91980;62614;90309;33386;19259;4415;140803;55320;170242;69790;74872;191376;75645;58403;110987;21623
"18.05.2003 Ja zu fairen Mieten";"Abgegebene Stimmen";2362517;419896;332352;126801;12208;49479;12084;15526;12017;38168;78584;91705;62294;89773;33058;19093;4402;139437;54409;168903;69757;74838;191219;75637;58323;110987;21567
"18.05.2003 Zivilschutz";"Abgegebene Stimmen";2358877;417989;332419;126693;12204;49406;12080;15513;12013;38099;78624;91648;61988;89560;33102;19045;4406;138859;54357;168952;69594;74830;191047;75640;58285;110987;21537
"18.05.2003 Armee XXI";"Abgegebene Stimmen";2361382;418312;332414;126978;12235;49493;12091;15502;12011;38155;78651;91783;61996;89779;33181;19105;4409;139320;54652;169196;69755;74843;191065;75635;58279;110987;21555
"09.02.2003 Kantonale Beiträge an Spitalbehandlungen";"Abgegebene Stimmen";1365354;266105;163410;68258;7982;32416;5847;7928;4730;20299;34908;45110;50573;50864;25049;15367;2302;82538;25168;89684;56938;38926;113902;27751;40524;78584;10191
"09.02.2003 Änderung Volksrechte";"Abgegebene Stimmen";1365517;266092;163414;68304;7953;32439;5844;7930;4730;20295;34930;45115;50637;50872;25063;15326;2302;82571;25124;89734;56966;38931;113973;27749;40437;78584;10202
"24.11.2002 Arbeitslosenversicherungsgesetz";"Abgegebene Stimmen";2262121;418878;317688;123072;10154;48212;10092;12296;11429;35345;67341;81892;61093;87371;31511;19907;4786;139900;49380;151405;69722;65421;190202;68526;56349;110727;19422
"24.11.2002 Gegen Asylrechtsmissbrauch";"Abgegebene Stimmen";2276582;424401;317758;123838;10247;48410;10154;12356;11466;35603;67458;82112;61257;87989;31598;20208;4796;142032;50161;153693;70135;65421;190340;68540;56444;110727;19438
"22.09.2002 Elektrizitätsmarktgesetz";"Abgegebene Stimmen";2125214;399726;286005;108753;9866;42039;9974;19011;10111;36170;64348;78716;61268;81368;30551;17575;4200;122586;48553;149436;64708;71793;166385;62042;52795;110402;16833
"22.09.2002 Gold für AHV, Kantone und Stiftung";"Abgegebene Stimmen";2143027;405221;286240;109640;10002;42250;10028;19115;10151;36475;64425;78972;62079;82087;32297;17811;4231;125029;49518;151313;65182;71798;166865;62107;52934;110402;16855
