"Datum und Vorlage";"Ergebnisse";"Schweiz";"Zürich";"Bern / Berne";"Luzern";"Uri";"Schwyz";"Obwalden";"Nidwalden";"Glarus";"Zug";"Fribourg / Freiburg";"Solothurn";"Basel-Stadt";"Basel-Landschaft";"Schaffhausen";"Appenzell Ausserrhoden";"Appenzell Innerrhoden";"St. Gallen";"Graubünden / Grigioni / Grischun";"Aargau";"Thurgau";"Ticino";"Vaud";"Valais / Wallis";"Neuchâtel";"Genève";"Jura"
"27.11.2005 Gentechfrei-Initiative";"Ja";1125835;180181;151434;59565;5536;20092;5944;5999;4670;18345;39878;33656;27181;34717;16600;9545;2204;61581;28389;75445;31909;47374;104208;43683;34585;68087;15027
"25.09.2005 Ausdehnung der Personenfreizügigkeit";"Ja";1458686;266272;193525;70956;5193;21025;5480;7318;5421;22883;52407;47745;42961;57213;16296;11340;2337;81736;30970;102535;44271;36329;140623;56779;41286;81193;14592
"05.06.2005 Partnerschaftsgesetz";"Ja";1559848;308258;204664;84200;6461;27365;6858;9379;6874;26134;48148;55400;47794;66722;19593;11762;2487;86443;35648;113068;38566;47699;129485;46950;35931;81752;12207
"05.06.2005 Abkommen zu Schengen und Dublin";"Ja";1477260;280560;201633;73048;5235;21135;5706;7332;5317;22341;54678;49959;45202;59470;15353;9976;1893;75856;29217;93323;36009;39053;144962;56407;44697;83672;15226
"28.11.2004 Stammzellenforschungsgesetz";"Ja";1156706;200300;150031;63866;5062;19556;5113;6395;4539;21903;36205;37466;34671;42113;15978;9596;1836;58696;22585;82602;29138;40413;114611;31799;32472;74690;15070
"28.11.2004 Neue Finanzordnung";"Ja";1258895;228724;189010;72692;6529;18843;6254;6470;5156;17003;36577;42036;39433;43682;17264;11615;2412;67683;26770;87197;34649;41917;113167;36104;29660;63925;14123
"28.11.2004 Neugestaltung Finanzausgleich";"Ja";1104565;179506;173863;74897;7235;14651;6380;4826;4512;5755;34530;41503;37653;37653;15671;10431;2322;64749;24684;77998;33659;38379;86159;37874;26580;48195;14900
"26.09.2004 Erwerbsersatz für Dienstleistende und bei Mutterschaft";"Ja";1417159;249857;193647;61070;4294;16994;4806;6456;4448;19147;55292;43019;41862;52698;15126;8607;1468;65721;27931;83208;29627;59703;157882;52186;45048;99032;18030
"26.09.2004 Postdienst für alle";"Ja";1247771;189521;167093;61223;6827;21890;5123;6183;6345;14516;46126;43224;36737;47767;14995;8779;2231;66241;30795;79055;28333;60808;109516;60092;37088;81260;16003
"26.09.2004 Bürgerrechtserwerb für die dritte Generation";"Ja";1238912;224761;180516;54531;4228;15688;4461;5769;3851;17191;48294;35541;37107;43110;11681;8183;1636;58507;24159;66015;24975;40524;141205;40592;43152;89103;14132
