Zürich;Bern / Berne;Luzern;Uri;Schwyz;Obwalden;Nidwalden;Glarus;Zug;Fribourg / Freiburg;Solothurn;Basel-Stadt;Basel-Landschaft;Schaffhausen;Appenzell Ausserrhoden;Appenzell Innerrhoden;St. Gallen;Graubünden / Grigioni / Grischun;Aargau;Thurgau;Ticino;Vaud;Valais / Wallis;Neuchâtel;Genève
886472;720162;263813;26214;99707;25521;30567;26096;72663;189090;174869;113966;186367;50483;37738;11421;312962;136186;404017;163158;214297;415194;209947;110240;242800
886472;720162;263813;26214;99707;25521;30567;26096;72663;189090;174869;113966;186367;50483;37738;11421;312962;136186;404017;163158;214297;415194;209947;110240;242800
885022;719780;263083;26167;99197;25444;30476;26124;72602;188482;174689;114092;186621;50479;37778;11412;313554;135734;403081;162777;213922;414265;209044;110051;242215
884027;719304;262677;26161;99066;25440;30484;25865;72449;187922;174501;114139;186360;50413;37733;11394;313284;135603;402529;162546;213496;413590;208666;110064;241761
884027;719304;262677;26161;99066;25440;30484;25865;72449;187922;174501;114139;186360;50413;37733;11394;313284;135603;402529;162546;213496;413590;208666;110064;241761
884027;719304;262677;26161;99066;25440;30484;25865;72449;187922;174501;114139;186360;50413;37733;11394;313284;135603;402529;162546;213496;413590;208666;110064;241761
882250;717995;261876;26104;98687;25328;30536;26125;72314;186956;173984;114180;186735;50413;37825;11416;312574;135640;401380;161789;212890;412672;207911;109967;241154
882250;717995;261876;26104;98687;25328;30536;26125;72314;186956;173984;114180;186735;50413;37825;11416;312574;135640;401380;161789;212890;412672;207911;109967;241154
882250;717995;261876;26104;98687;25328;30536;26125;72314;186956;173984;114180;186735;50413;37825;11416;312574;135640;401380;161789;212890;412672;207911;109967;241154
881041;717009;261034;26106;98679;25299;30447;26133;72196;186331;173673;113973;186651;49926;37720;11402;311973;135498;400215;161238;212407;412036;207325;109976;240067
881041;717009;261034;26106;98679;25299;30447;26133;72196;186331;173673;113973;186651;49926;37720;11402;311973;135498;400215;161238;212407;412036;207325;109976;240067
881041;717009;261034;26106;98679;25299;30447;26133;72196;186331;173673;113973;186651;49926;37720;11402;311973;135498;400215;161238;212407;412036;207325;109976;240067
881041;717009;261034;26106;98679;25299;30447;26133;72196;186331;173673;113973;186651;49926;37720;11402;311973;135498;400215;161238;212407;412036;207325;109976;240067
881041;717009;261034;26106;98679;25299;30447;26133;72196;186331;173673;113973;186651;49926;37720;11402;311973;135498;400215;161238;212407;412036;207325;109976;240067
873069;710987;257570;26034;97849;25117;30265;25991;71663;183402;172059;113781;186188;49494;37459;11266;309408;135061;395978;159148;210816;407150;203893;109519;238654
871260;710648;256949;26078;97444;25058;30230;25896;71446;182880;171804;114021;186325;49406;37438;11268;308795;134686;395251;158850;210812;406379;203172;109628;237809
871260;710648;256949;26078;97444;25058;30230;25896;71446;182880;171804;114021;186325;49406;37438;11268;308795;134686;395251;158850;210812;406379;203172;109628;237809
871260;710648;256949;26078;97444;25058;30230;25896;71446;182880;171804;114021;186325;49406;37438;11268;308795;134686;395251;158850;210812;406379;203172;109628;237809
869701;710691;256619;26050;97095;25011;30119;25845;71168;182354;171715;114049;186078;49344;37335;11233;308008;134535;394414;158560;210302;406468;202764;109614;237759
867568;707615;254770;25966;96746;24783;30039;25792;71005;180715;170568;113666;185737;49017;37442;11267;306065;134459;391210;157562;209535;402587;201509;109068;236294
867568;707615;254770;25966;96746;24783;30039;25792;71005;180715;170568;113666;185737;49017;37442;11267;306065;134459;391210;157562;209535;402587;201509;109068;236294
867568;707615;254770;25966;96746;24783;30039;25792;71005;180715;170568;113666;185737;49017;37442;11267;306065;134459;391210;157562;209535;402587;201509;109068;236294
864730;707025;253818;25949;96397;24680;30006;25750;70903;179912;170721;113740;185704;49000;37387;11138;305694;133871;389964;157273;209452;401595;200822;108652;235497
864730;707025;253818;25949;96397;24680;30006;25750;70903;179912;170721;113740;185704;49000;37387;11138;305694;133871;389964;157273;209452;401595;200822;108652;235497
864730;707025;253818;25949;96397;24680;30006;25750;70903;179912;170721;113740;185704;49000;37387;11138;305694;133871;389964;157273;209452;401595;200822;108652;235497
862636;706767;253372;25947;96282;24625;30009;25760;70620;179576;170533;113725;185757;49023;37415;11102;305106;133893;389185;156798;209020;400004;200171;108326;235265
862636;706767;253372;25947;96282;24625;30009;25760;70620;179576;170533;113725;185757;49023;37415;11102;305106;133893;389185;156798;209020;400004;200171;108326;235265
858347;704854;252042;25925;95939;24401;29942;25683;70804;178542;170161;113712;185269;48866;37379;11032;304151;133562;387421;155933;208303;397934;199324;107765;234036
858347;704854;252042;25925;95939;24401;29942;25683;70804;178542;170161;113712;185269;48866;37379;11032;304151;133562;387421;155933;208303;397934;199324;107765;234036
856095;703313;250963;25841;95967;24318;29964;25684;71043;177788;169906;113577;185371;48850;37179;10989;303175;133525;386265;155434;207557;396310;198910;107643;234184
854299;702946;250553;25772;95577;24246;29842;25655;70971;177380;169833;113785;184694;48842;37199;10988;302825;133046;385496;155034;207323;396255;198526;107621;234606
854299;702946;250553;25772;95577;24246;29842;25655;70971;177380;169833;113785;184694;48842;37199;10988;302825;133046;385496;155034;207323;396255;198526;107621;234606
854299;702946;250553;25772;95577;24246;29842;25655;70971;177380;169833;113785;184694;48842;37199;10988;302825;133046;385496;155034;207323;396255;198526;107621;234606
854299;702946;250553;25772;95577;24246;29842;25655;70971;177380;169833;113785;184694;48842;37199;10988;302825;133046;385496;155034;207323;396255;198526;107621;234606
854299;702946;250553;25772;95577;24246;29842;25655;70971;177380;169833;113785;184694;48842;37199;10988;302825;133046;385496;155034;207323;396255;198526;107621;234606
849224;702599;249086;25716;94773;24092;29697;25566;70594;175633;169420;113676;184642;48810;37103;10969;301461;132892;382701;154147;206396;392889;197866;107268;232880
849224;702599;249086;25716;94773;24092;29697;25566;70594;175633;169420;113676;184642;48810;37103;10969;301461;132892;382701;154147;206396;392889;197866;107268;232880
849224;702599;249086;25716;94773;24092;29697;25566;70594;175633;169420;113676;184642;48810;37103;10969;301461;132892;382701;154147;206396;392889;197866;107268;232880
846987;701599;248197;25694;94732;23961;29667;25557;70508;174696;169100;113557;184519;48748;36994;10926;300573;132836;381731;153765;205614;390870;197800;107160;232370
846987;701599;248197;25694;94732;23961;29667;25557;70508;174696;169100;113557;184519;48748;36994;10926;300573;132836;381731;153765;205614;390870;197800;107160;232370
