"CubeId";"snbcurrp"
"PublishingDate";"2017-05-31 09:00"

"Date";"D0";"D1";"Value"
"2001-Q3";"WDD";"JPY";"2.92244536"
"2001-Q3";"WDD";"GBP";"5.59197407"
"2001-Q3";"WDD";"CAD";"1.92906883"
"2001-Q3";"WDD";"U";"3.93905702"
"2001-Q3";"WDD";"T";"100"
"2001-Q4";"WDD";"USD";"41.03544158"
"2001-Q4";"WDD";"EUR";"45.84077883"
"2001-Q4";"WDD";"JPY";"1.5449277"
"2001-Q4";"WDD";"GBP";"5.84747046"
"2001-Q4";"WDD";"CAD";"1.98611309"
"2001-Q4";"WDD";"U";"3.74526834"
"2001-Q4";"WDD";"T";"100"
"2002-Q1";"WDD";"USD";"43.39265488"
"2002-Q1";"WDD";"EUR";"45.19721558"
"2002-Q1";"WDD";"JPY";"0.00287779"
"2002-Q1";"WDD";"GBP";"5.70775087"
"2002-Q1";"WDD";"CAD";"2.03985248"
"2002-Q1";"WDD";"U";"3.65964842"
"2002-Q1";"WDD";"T";"100"
"2002-Q2";"WDD";"USD";"38.29740819"
"2002-Q2";"WDD";"EUR";"49.84980413"
"2002-Q2";"WDD";"JPY";"0.0027967"
"2002-Q2";"WDD";"GBP";"5.81112066"
"2002-Q2";"WDD";"CAD";"2.06415951"
"2002-Q2";"WDD";"U";"3.97471081"
"2002-Q2";"WDD";"T";"100"
"2002-Q3";"WDD";"USD";"39.93394434"
"2002-Q3";"WDD";"EUR";"47.92285863"
"2002-Q3";"WDD";"JPY";"0.0019335"
"2002-Q3";"WDD";"GBP";"6.22779089"
"2002-Q3";"WDD";"CAD";"1.93384437"
"2002-Q3";"WDD";"U";"3.97962827"
"2002-Q3";"WDD";"T";"100"
"2002-Q4";"WDD";"USD";"39.19895095"
"2002-Q4";"WDD";"EUR";"49.03921996"
"2002-Q4";"WDD";"JPY";"0.00186558"
"2002-Q4";"WDD";"GBP";"5.8505199"
"2002-Q4";"WDD";"CAD";"1.89261143"
"2002-Q4";"WDD";"U";"4.01683218"
"2002-Q4";"WDD";"T";"100"
"2003-Q1";"WDD";"USD";"38.90089225"
"2003-Q1";"WDD";"EUR";"49.91669316"
"2003-Q1";"WDD";"JPY";"0.00128296"
"2003-Q1";"WDD";"GBP";"5.30996097"
"2003-Q1";"WDD";"CAD";"1.89792041"
"2003-Q1";"WDD";"U";"3.97325025"
"2003-Q1";"WDD";"T";"100"
"2003-Q2";"WDD";"USD";"37.87826798"
"2003-Q2";"WDD";"EUR";"50.36030334"
"2003-Q2";"WDD";"JPY";"0.00044912"
"2003-Q2";"WDD";"GBP";"5.51621803"
"2003-Q2";"WDD";"CAD";"2.10094266"
"2003-Q2";"WDD";"U";"4.14381887"
"2003-Q2";"WDD";"T";"100"
"2003-Q3";"WDD";"USD";"36.97544167"
"2003-Q3";"WDD";"EUR";"50.97798014"
"2003-Q3";"WDD";"JPY";"0.00053803"
"2003-Q3";"WDD";"GBP";"5.840926"
"2003-Q3";"WDD";"CAD";"2.05655799"
"2003-Q3";"WDD";"U";"4.14855617"
"2003-Q3";"WDD";"T";"100"
"2003-Q4";"WDD";"USD";"36.23756977"
"2003-Q4";"WDD";"EUR";"52.0677354"
"2003-Q4";"WDD";"JPY";"0.00037514"
"2003-Q4";"WDD";"GBP";"5.46705743"
"2003-Q4";"WDD";"CAD";"2.03192949"
"2003-Q4";"WDD";"U";"4.19533277"
"2003-Q4";"WDD";"T";"100"
"2004-Q1";"WDD";"USD";"33.61177741"
"2004-Q1";"WDD";"EUR";"47.53062317"
"2004-Q1";"WDD";"JPY";"0.00040624"
"2004-Q1";"WDD";"GBP";"11.43961558"
"2004-Q1";"WDD";"CAD";"2.25962253"
"2004-Q1";"WDD";"U";"5.15795508"
"2004-Q1";"WDD";"T";"100"
"2004-Q2";"WDD";"USD";"37.63246379"
"2004-Q2";"WDD";"EUR";"51.11343603"
"2004-Q2";"WDD";"JPY";"0.0005209"
"2004-Q2";"WDD";"GBP";"5.34643016"
"2004-Q2";"WDD";"CAD";"1.96213034"
"2004-Q2";"WDD";"U";"3.94501878"
"2004-Q2";"WDD";"T";"100"
"2004-Q3";"WDD";"USD";"34.09615798"
"2004-Q3";"WDD";"EUR";"47.25180946"
"2004-Q3";"WDD";"JPY";"0.00054003"
"2004-Q3";"WDD";"GBP";"11.43986907"
"2004-Q3";"WDD";"CAD";"2.24078298"
"2004-Q3";"WDD";"U";"4.97084048"
"2004-Q3";"WDD";"T";"100"
"2004-Q4";"WDD";"USD";"33.61177741"
"2004-Q4";"WDD";"EUR";"47.53062317"
"2004-Q4";"WDD";"JPY";"0.00040624"
"2004-Q4";"WDD";"GBP";"11.43961558"
"2004-Q4";"WDD";"CAD";"2.25962253"
"2004-Q4";"WDD";"U";"5.15795508"
"2004-Q4";"WDD";"T";"100"
"2005-Q1";"WDD";"USD";"35.74403658"
"2005-Q1";"WDD";"EUR";"46.79934458"
"2005-Q1";"WDD";"JPY";"0.94692435"
"2005-Q1";"WDD";"GBP";"9.50744238"
"2005-Q1";"WDD";"CAD";"2.18721828"
"2005-Q1";"WDD";"U";"4.81503383"
"2005-Q1";"WDD";"T";"100"
"2005-Q2";"WDD";"USD";"37.01203806"
"2005-Q2";"WDD";"EUR";"45.21439532"
"2005-Q2";"WDD";"JPY";"1.3437692"
"2005-Q2";"WDD";"GBP";"9.86790061"
"2005-Q2";"WDD";"CAD";"2.15382222"
"2005-Q2";"WDD";"U";"4.40807459"
"2005-Q2";"WDD";"T";"100"
"2005-Q3";"WDD";"USD";"35.28997182"
"2005-Q3";"WDD";"EUR";"46.43029931"
"2005-Q3";"WDD";"JPY";"1.7777576"
"2005-Q3";"WDD";"GBP";"9.87631085"
"2005-Q3";"WDD";"CAD";"2.21923602"
"2005-Q3";"WDD";"U";"4.4064244"
"2005-Q3";"WDD";"T";"100"
"2005-Q4";"WDD";"USD";"34.95034275"
"2005-Q4";"WDD";"EUR";"46.30246897"
"2005-Q4";"WDD";"JPY";"1.86221087"
"2005-Q4";"WDD";"GBP";"10.33990374"
"2005-Q4";"WDD";"CAD";"2.24476756"
"2005-Q4";"WDD";"U";"4.30030611"
"2005-Q4";"WDD";"T";"100"
"2006-Q1";"WDD";"USD";"34.85916317"
"2006-Q1";"WDD";"EUR";"47.11198172"
"2006-Q1";"WDD";"JPY";"3.1380249"
"2006-Q1";"WDD";"GBP";"9.82002832"
"2006-Q1";"WDD";"CAD";"2.34614428"
"2006-Q1";"WDD";"U";"2.72465762"
"2006-Q1";"WDD";"T";"100"
"2006-Q2";"WDD";"USD";"34.80285093"
"2006-Q2";"WDD";"EUR";"47.01300799"
"2006-Q2";"WDD";"JPY";"3.03387201"
"2006-Q2";"WDD";"GBP";"10.08667915"
"2006-Q2";"WDD";"CAD";"2.27304987"
"2006-Q2";"WDD";"U";"2.79054004"
"2006-Q2";"WDD";"T";"100"
"2006-Q3";"WDD";"USD";"33.27948546"
"2006-Q3";"WDD";"EUR";"46.89704327"
"2006-Q3";"WDD";"JPY";"4.87341708"
"2006-Q3";"WDD";"GBP";"9.83496533"
"2006-Q3";"WDD";"CAD";"2.29218986"
"2006-Q3";"WDD";"U";"2.82289899"
"2006-Q3";"WDD";"T";"100"
"2006-Q4";"WDD";"USD";"32.81154926"
"2006-Q4";"WDD";"EUR";"47.01647516"
"2006-Q4";"WDD";"JPY";"5.04609034"
"2006-Q4";"WDD";"GBP";"10.06381331"
"2006-Q4";"WDD";"CAD";"2.20118207"
"2006-Q4";"WDD";"U";"2.86088987"
"2006-Q4";"WDD";"T";"100"
"2007-Q1";"WDD";"USD";"30.80218019"
"2007-Q1";"WDD";"EUR";"47.59301052"
"2007-Q1";"WDD";"JPY";"6.75678841"
"2007-Q1";"WDD";"GBP";"9.86618457"
"2007-Q1";"WDD";"CAD";"2.2732338"
"2007-Q1";"WDD";"U";"2.70860251"
"2007-Q1";"WDD";"T";"100"
"2007-Q2";"WDD";"USD";"30.6791523"
"2007-Q2";"WDD";"EUR";"46.18173293"
"2007-Q2";"WDD";"JPY";"7.19545859"
"2007-Q2";"WDD";"GBP";"10.99023311"
"2007-Q2";"WDD";"CAD";"2.39732814"
"2007-Q2";"WDD";"U";"2.55609493"
"2007-Q2";"WDD";"T";"100"
"2007-Q3";"WDD";"USD";"30.45370314"
"2007-Q3";"WDD";"EUR";"46.18749087"
"2007-Q3";"WDD";"JPY";"7.05797477"
